id,category,question
1,Skills & Tech Stack,What frontend frameworks have you used? (STAR format)
2,Achievements & Impact,Have you mentored juniors or led a guild? (focus on numbers)
3,Behavioral & Soft Skills,How do you handle scope creep? (focus on numbers)
4,Role/Company Fit & Match Score,What gaps would you close to excel as a ML Engineer?
5,Experience & Projects,How do you internationalize/localize applications? (detail your role)
6,Profile/Bio,How do teammates describe you? (focus on numbers)
7,Education,Where did you study B.Tech in Computer Science?
8,Compensation,What is your minimum acceptable offer?
9,Experience & Projects,What metrics (KPIs/OKRs) did your work move? (STAR format)
10,Experience & Projects,How do you estimate and plan sprints? (detail your role)
11,Education,What thesis or capstone did you complete?
12,Experience & Projects,How do you internationalize/localize applications? (keep it under 60 seconds)
13,Experience & Projects,How large was the team and what was the timeline? (please be concise)
14,Profile/Bio,How do you stay up to date with technology? (detail your role)
15,Experience & Projects,How did you measure success for real-time analytics system? (STAR format)
16,Experience & Projects,Give an example of cross-team collaboration. (STAR format)
17,Profile/Bio,How do teammates describe you? (keep it under 60 seconds)
18,Skills & Tech Stack,What is your approach to code reviews? (detail your role)
19,Skills & Tech Stack,Have you built real-time systems (WebSockets/streaming)? (detail your role)
20,Skills & Tech Stack,How do you ensure data quality? (STAR format)
21,Skills & Tech Stack,Self-assess your proficiency in your proficiency in React.
22,Role/Company Fit & Match Score,What risks should the hiring team be aware of?
23,Skills & Tech Stack,Do you have experience with microservices? (please be concise)
24,Role/Company Fit & Match Score,What domains make you a strong fit here?
25,Role/Company Fit & Match Score,Explain why you're a strong fit for the Solution Architect role.
26,Role/Company Fit & Match Score,What evidence supports your fit for {ROLE}?
27,Skills & Tech Stack,How would you rate your proficiency in MongoDB.
28,Experience & Projects,Describe a feature you took from idea to production. (detail your role)
29,Profile/Bio,What industries have you contributed to? (keep it under 60 seconds)
30,Skills & Tech Stack,What's your level in your proficiency in GraphQL.
31,Compensation,How do you evaluate total compensation?
32,Role/Company Fit & Match Score,Why this company and why now?
33,Career Gaps,Were there any personal projects during the gap? (focus on numbers)
34,Profile/Bio,What's a quick overview of your professional background? (please be concise)
35,Experience & Projects,What were the biggest challenges in {PROJECT}? (please be concise)
36,Education,What extracurriculars built relevant skills? (STAR format)
37,Profile/Bio,What problems do you love solving? (please be concise)
38,Skills & Tech Stack,What CI/CD tools have you worked with? (detail your role)
39,Skills & Tech Stack,What CI/CD tools have you worked with?
40,Experience & Projects,How do you ensure maintainability and scalability? (STAR format)
41,Education,Any hackathons or competitions you participated in? (please be concise)
42,Certifications,Why did you choose to certify in {TECH}? (STAR format)
43,Experience & Projects,What did you learn from a failed experiment? (please be concise)
44,Role/Company Fit & Match Score,Map your skills to the Data Engineer job description.
45,Skills & Tech Stack,What CI/CD tools have you worked with? (please be concise)
46,Skills & Tech Stack,"Have you implemented Infrastructure as Code (e.g., Terraform)? (please be concise)"
47,Experience & Projects,What was your contribution to architecture decisions? (focus on numbers)
48,Profile/Bio,What roles are you currently targeting? (detail your role)
49,Skills & Tech Stack,Have you worked with message queues like Kafka or RabbitMQ? (please be concise)
50,Profile/Bio,What motivates you at work? (focus on numbers)
51,Behavioral & Soft Skills,How do you handle scope creep?
52,Experience & Projects,What would you do differently in payment gateway integration? (focus on numbers)
53,Education,What was your specialization? (focus on numbers)
54,Skills & Tech Stack,What's your level in your proficiency in Tableau.
55,Role/Company Fit & Match Score,Give a 90-day plan for succeeding as a DevOps Engineer.
56,Experience & Projects,Describe a feature you took from idea to production. (focus on numbers)
57,Certifications,Why did you choose to certify in Redis? (focus on numbers)
58,Experience & Projects,Describe your contribution to the real-time analytics system.
59,Career Gaps,Did you upskill or freelance during the gap? (focus on numbers)
60,Education,What academic projects are relevant to your roles? (detail your role)
61,Education,Do you mentor or teach others? (focus on numbers)
62,Profile/Bio,What motivates you at work? (keep it under 60 seconds)
63,Profile/Bio,What are your long-term career aspirations? (STAR format)
64,Experience & Projects,What would you refactor if you revisited the data warehouse modernization?
65,Skills & Tech Stack,Rate your proficiency in Python. (detail your role)
66,Career Gaps,How do you explain your career break from Jan 2022 to Aug 2022? (keep it under 60 seconds)
67,Experience & Projects,What performance improvements did you achieve?
68,Education,Have you published papers or blogs? (focus on numbers)
69,Behavioral & Soft Skills,Describe a failure and what you learned. (focus on numbers)
70,Profile/Bio,Give a brief bio of Veera Mane. (keep it under 60 seconds)
71,Portfolio & Repos,Share links to notable pull requests or issues.
72,Experience & Projects,How do you estimate and plan sprints?
73,Experience & Projects,Describe your contribution to the ML-based recommendation engine.
74,Skills & Tech Stack,What's your level in your proficiency in FastAPI.
75,Behavioral & Soft Skills,Describe a failure and what you learned. (detail your role)
76,Skills & Tech Stack,"Have you implemented Infrastructure as Code (e.g., Terraform)? (STAR format)"
77,Profile/Bio,Give a brief bio of {NAME}.
78,Experience & Projects,How do you sunset legacy systems safely? (focus on numbers)
79,Profile/Bio,How do you handle feedback? (please be concise)
80,Skills & Tech Stack,What's your level in your proficiency in PyTorch.
81,Profile/Bio,Elevator pitch: who are you and what do you do? (please be concise)
82,Skills & Tech Stack,How do you approach performance optimization? (detail your role)
83,Certifications,What was the most challenging certification? (STAR format)
84,Experience & Projects,Which metrics improved due to the real-time analytics system?
85,Experience & Projects,What was your role in the {PROJECT} project?
86,Skills & Tech Stack,What frontend frameworks have you used? (detail your role)
87,Role/Company Fit & Match Score,Map your skills to the SRE job description.
88,Profile/Bio,What is your unique value proposition? (STAR format)
89,Role/Company Fit & Match Score,Explain why you're a strong fit for the DevOps Engineer role.
90,Certifications,Which certification are you planning next? (STAR format)
91,Skills & Tech Stack,What is your experience with testing frameworks? (detail your role)
92,Skills & Tech Stack,Briefly describe your core proficiencies and technology stack.
93,Behavioral & Soft Skills,How do you handle tight deadlines? (please be concise)
94,Profile/Bio,Tell me about Veera Mane.
95,Profile/Bio,How would you describe yourself in one paragraph?
96,Experience & Projects,How do you estimate and plan sprints? (please be concise)
97,Profile/Bio,What problems do you love solving?
98,Experience & Projects,What trade-offs did you make and why? (please be concise)
99,Skills & Tech Stack,What backend frameworks have you used? (detail your role)
100,Experience & Projects,What was your role in the API platform project? (STAR format)
101,Experience & Projects,What would you refactor if you revisited the API platform?
102,Learning & Growth,What side projects are for learning?
103,Certifications,How have certifications helped you at work? (keep it under 60 seconds)
104,Education,What thesis or capstone did you complete? (please be concise)
105,Experience & Projects,How do you handle requirement changes mid-project? (please be concise)
106,Behavioral & Soft Skills,Describe a time you influenced without authority. (please be concise)
107,Role/Company Fit & Match Score,"On a 0–100 scale, what's your match score for Backend Engineer?"
108,Behavioral & Soft Skills,How do you manage up? (focus on numbers)
109,Skills & Tech Stack,Have you worked with message queues like Kafka or RabbitMQ?
110,Education,Have you completed online courses or MOOCs? (detail your role)
111,Experience & Projects,How do you ensure accessibility in your products?
112,Profile/Bio,Are you open to remote or hybrid roles?
113,Education,Did you receive any academic awards? (keep it under 60 seconds)
114,Experience & Projects,How did you ensure reliability and uptime? (focus on numbers)
115,Role/Company Fit & Match Score,Give a 90-day plan for succeeding as a Backend Engineer.
116,Behavioral & Soft Skills,Describe a failure and what you learned. (STAR format)
117,Skills & Tech Stack,How would you rate your proficiency in Git.
118,Career Gaps,Do you have any career gaps? (please be concise)
